cve,owner,repo,patch,reserve_idx_diff,publish_idx_diff,reserve_time,publish_time
CVE-2005-4849,apache,derby,09a7325f75a4f96a7735e46c9723930f88ea2613,-2778,-2780,2007-07-05T00:00:00+00:00,2007-07-05T20:00:00+00:00
CVE-2005-4849,apache,derby,82d721fd53e30dbb86d6d742c085030985091968,-2771,-2773,2007-07-05T00:00:00+00:00,2007-07-05T20:00:00+00:00
CVE-2005-4849,apache,derby,fd24a7590ff5426bac68303fbeca07dbc5067412,-2768,-2770,2007-07-05T00:00:00+00:00,2007-07-05T20:00:00+00:00
CVE-2006-6969,jetty-project,codehaus-jetty6,36f81d2e7058b012f6718bc2f1e2786694a8a4a1,-544,-545,2007-02-07T00:00:00+00:00,2007-02-07T11:00:00+00:00
CVE-2006-6969,jetty-project,codehaus-jetty6,b31f606bf8058a38ab6253aa8dc2dfe6a7f83c78,-545,-546,2007-02-07T00:00:00+00:00,2007-02-07T11:00:00+00:00
CVE-2006-7217,apache,derby,28c633d82a776c90fd1cd835a0b66d1c8916d31a,-1371,-1373,2007-07-05T00:00:00+00:00,2007-07-05T20:00:00+00:00
CVE-2007-0450,apache,tomcat,0c5ec5b958f1b59840ee155a23ab409755b039f6,29611,29422,2007-01-23T00:00:00+00:00,2007-03-16T22:00:00+00:00
CVE-2007-0450,apache,tomcat,19ec1ccd17fbb98511bc1c12b255253c4f48b85f,29610,29421,2007-01-23T00:00:00+00:00,2007-03-16T22:00:00+00:00
CVE-2007-0450,apache,tomcat,ec7ff880dbc28b313bf3a2b1914f6f0371489793,29612,29423,2007-01-23T00:00:00+00:00,2007-03-16T22:00:00+00:00
CVE-2007-2450,apache,tomcat,1bc3bcb2848f478fd6674487d6dad507fd5dd686,285,-9,2007-05-02T00:00:00+00:00,2007-06-14T23:00:00+00:00
CVE-2007-5461,apache,tomcat,1e7b31e24801777f4de45d565f6a20a5377dd22c,27,24,2007-10-15T00:00:00+00:00,2007-10-15T18:00:00+00:00
CVE-2007-5461,apache,tomcat,901292cf9d7d8225f8a3b96c7583e2bd8b41772d,26,23,2007-10-15T00:00:00+00:00,2007-10-15T18:00:00+00:00
CVE-2007-5615,jetty-project,codehaus-jetty6,0d2592ea3183914163d0921e4855bd3e18582a05,-97,-253,2007-10-21T00:00:00+00:00,2007-12-05T11:00:00+00:00
CVE-2007-6382,robo-code,robocode,2f2867d24fb28a2478983be57556f2355a774a81,-3,-3,2007-12-14T00:00:00+00:00,2007-12-15T02:00:00+00:00
CVE-2007-6382,robo-code,robocode,8c6f5d77e7723583ba069ea611c33f22c1e9603a,-151,-151,2007-12-14T00:00:00+00:00,2007-12-15T02:00:00+00:00
CVE-2008-1474,roundup-tracker,roundup,151ffd3367e7af563a92aabb3a8034a0f49063d9,-2,-3,2008-03-24T00:00:00+00:00,2008-03-24T22:00:00+00:00
CVE-2008-1475,roundup-tracker,roundup,c00b7e5801f8baa246fa76b4aad5287882310189,0,-1,2008-03-24T00:00:00+00:00,2008-03-24T22:00:00+00:00
CVE-2008-1947,apache,tomcat,ab6a6c41ac972c845717c9d639f0335865afab4d,313,-2,2008-04-24T00:00:00+00:00,2008-06-04T19:17:00+00:00
CVE-2008-1947,apache,tomcat,78ad0fcbe29c824f1f2e45a4e2716247b033250a,315,0,2008-04-24T00:00:00+00:00,2008-06-04T19:17:00+00:00
CVE-2008-1947,apache,tomcat,49c71fc59c1b8f8da77aea9eb53e61db168aebab,312,-3,2008-04-24T00:00:00+00:00,2008-06-04T19:17:00+00:00
CVE-2008-1947,apache,tomcat,5f00d434c8dc11bd49ce0b4b56fe889839056030,314,-1,2008-04-24T00:00:00+00:00,2008-06-04T19:17:00+00:00
CVE-2008-2938,apache,tomcat,c55ad56ed72ee1dbfe790bc5492d4df74e3e754f,156,-93,2008-06-30T00:00:00+00:00,2008-08-13T00:00:00+00:00
CVE-2008-5515,apache,tomcat,6b61911f94d6d8d49ee933c5f1882a7e7c336d2c,621,-1814,2008-12-12T00:00:00+00:00,2009-06-16T20:26:00+00:00
CVE-2008-6505,apache,struts,04fcefa44bae1263c7cad6986a9dafed67f0164f,-164,-164,2009-03-23T00:00:00+00:00,2009-03-23T14:00:00+00:00
CVE-2008-6505,apache,struts,1f1c996eb1f0f3e2193fba0075f62ccd04e3c0c3,-160,-160,2009-03-23T00:00:00+00:00,2009-03-23T14:00:00+00:00
CVE-2008-6682,apache,struts,09147ffad2b3046ed21af0f524c5088e2ac551e6,-436,-437,2009-04-09T00:00:00+00:00,2009-04-09T15:00:00+00:00
CVE-2008-6682,apache,struts,bd3f2f59c9b09f70aed3ebab6bb69b464ee2d6cb,-430,-431,2009-04-09T00:00:00+00:00,2009-04-09T15:00:00+00:00
CVE-2008-6682,apache,struts,dae026a0f0511f83852053bae9d5a622e7f80486,-421,-422,2009-04-09T00:00:00+00:00,2009-04-09T15:00:00+00:00
CVE-2009-0026,apache,jackrabbit,36330ae8df40ceaddf9f3f95b8d4855b54921579,19,-29,2008-12-15T00:00:00+00:00,2009-01-21T20:00:00+00:00
CVE-2009-0026,apache,jackrabbit,fbdcc02bc35db1d23b527da7bc411087ef29bf1f,18,-30,2008-12-15T00:00:00+00:00,2009-01-21T20:00:00+00:00
CVE-2009-1595,igniterealtime,Openfire,97e1f08cf72e430f5cca5ba94cd20703dadb5ce5,-2,-2,2009-05-11T00:00:00+00:00,2009-05-11T14:02:00+00:00
CVE-2009-2625,apache,xerces2-j,0bdf77af1d4fd26ec2e630fb6d12e2dfa77bc12b,-5,-6,2009-07-28T00:00:00+00:00,2009-08-06T15:00:00+00:00
CVE-2009-2693,apache,tomcat,3e1010b1a2f648581fac3d68afbf18f2979f6bf6,3062,-1138,2009-08-05T00:00:00+00:00,2010-01-28T20:00:00+00:00
CVE-2009-2901,apache,tomcat,3e1010b1a2f648581fac3d68afbf18f2979f6bf6,2767,-1138,2009-08-20T00:00:00+00:00,2010-01-28T20:00:00+00:00
CVE-2009-2902,apache,tomcat,3e1010b1a2f648581fac3d68afbf18f2979f6bf6,2767,-1138,2009-08-20T00:00:00+00:00,2010-01-28T20:00:00+00:00
CVE-2009-2940,PyGreSQL,PyGreSQL,8e19320b130946eed6f043297e3e4e005a523612,-34,-36,2009-08-23T00:00:00+00:00,2009-10-22T16:00:00+00:00
CVE-2009-2940,PyGreSQL,PyGreSQL,f7237d773e6f4d5a7da3d99bb6bc5062bd07935e,-33,-35,2009-08-23T00:00:00+00:00,2009-10-22T16:00:00+00:00
CVE-2009-3555,apache,tomcat,14e4efd925da58b9fa63f20969fb7349b8a9c30d,14124,13179,2009-10-05T00:00:00+00:00,2009-11-09T17:00:00+00:00
CVE-2009-3555,apache,tomcat,2d4ca03acc27cc883c404d1745d92f983b6fada3,14123,13178,2009-10-05T00:00:00+00:00,2009-11-09T17:00:00+00:00
CVE-2009-3555,apache,tomcat,30af3f5630542a2340781f66553e734a6fd69701,1397,452,2009-10-05T00:00:00+00:00,2009-11-09T17:00:00+00:00
CVE-2009-3555,apache,tomcat,328a523cbb2a2d4cd55283180614d4e03e2f8f02,1398,453,2009-10-05T00:00:00+00:00,2009-11-09T17:00:00+00:00
CVE-2009-3555,apache,tomcat,3d315ac9dfaa2c03b4df82938d78bf5b755766b3,1400,455,2009-10-05T00:00:00+00:00,2009-11-09T17:00:00+00:00
CVE-2009-3555,apache,tomcat,56f67141e82e16f68a860c3af9b7342da35cbe7d,14122,13177,2009-10-05T00:00:00+00:00,2009-11-09T17:00:00+00:00
CVE-2009-3555,apache,tomcat,b4e9488629bf03b4b65abf335e536e85386d1366,14121,13176,2009-10-05T00:00:00+00:00,2009-11-09T17:00:00+00:00
CVE-2009-3555,apache,tomcat,df9633116b5fec8f47f1f008fb89a6e9d5895cd0,1399,454,2009-10-05T00:00:00+00:00,2009-11-09T17:00:00+00:00
CVE-2009-4269,apache,derby,178ca0cfb796b5a5788d25ded0978773ea254332,142,-215,2009-12-10T00:00:00+00:00,2010-08-16T19:00:00+00:00
CVE-2009-4269,apache,derby,23f97a597716ee5b08eff698b7177850ad8e1294,140,-217,2009-12-10T00:00:00+00:00,2010-08-16T19:00:00+00:00
CVE-2009-4269,apache,derby,3b82686e32a8d4fa2027350279104f9b243b35d6,148,-209,2009-12-10T00:00:00+00:00,2010-08-16T19:00:00+00:00
CVE-2009-4269,apache,derby,60edeb0cb29daf9d28ece1863db779c1af5a3f62,135,-222,2009-12-10T00:00:00+00:00,2010-08-16T19:00:00+00:00
CVE-2009-4269,apache,derby,8c305e2f3fad1c3a4f98c06c7f2b53e2bfdd308c,149,-208,2009-12-10T00:00:00+00:00,2010-08-16T19:00:00+00:00
CVE-2009-5145,zopefoundation,Zope,2abdf14620f146857dc8e3ffd2b6a754884c331d,-1826,-2250,2015-03-02T00:00:00+00:00,2017-08-07T17:00:00+00:00
CVE-2010-0684,apache,activemq,2895197d0dad246757d8d1d9eea181cbf0543ae9,86,4,2010-02-22T00:00:00+00:00,2010-04-05T16:00:00+00:00
CVE-2010-0684,apache,activemq,fed39c3619825bd92990cf1aa7a4e85119e00a6e,6,-76,2010-02-22T00:00:00+00:00,2010-04-05T16:00:00+00:00
CVE-2010-10006,michaelliao,jopenid,c9baaa976b684637f0d5a50268e91846a7a719ab,-7,-7,2023-01-16T22:58:58+00:00,2023-01-17T23:58:07+00:00
CVE-2010-1622,spring-projects,spring-framework,3a5af35d37c79d0644d49b93f792a4c18fe8eb71,72,-61,2010-04-29T00:00:00+00:00,2010-06-21T16:00:00+00:00
CVE-2010-1666,AGProjects,python-cjson,dc2b8781b8666de5ca707318521f554904fdd690,1,1,2010-04-30T00:00:00+00:00,2010-07-02T18:30:00+00:00
CVE-2010-2227,apache,tomcat,40e5880dfc51517334acda5f12beacdec52ca283,323,-328,2010-06-09T00:00:00+00:00,2010-07-13T17:00:00+00:00
CVE-2010-2273,dojo,dojo,9117ffd5a3863e44c92fcd58564c0da22be858f4,1896,1896,2010-06-14T00:00:00+00:00,2010-06-14T19:00:00+00:00
CVE-2010-2477,cdent,paste,4910493c62f369a3222357af09450930e4c93f5e,-7,-44,2010-06-28T00:00:00+00:00,2010-11-05T22:00:00+00:00
CVE-2010-2491,roundup-tracker,roundup,dcef024bae8f63d290454250767a377eb0e1647b,2,-42,2010-06-28T00:00:00+00:00,2010-09-24T18:00:00+00:00
CVE-2010-3495,zopefoundation,ZODB,cfe16277ef1b5bb094dc79da50b0df1ee1537590,-140,-164,2010-09-24T00:00:00+00:00,2010-10-19T19:00:00+00:00
CVE-2010-3718,apache,tomcat,a697f7b52c4e3aea0c6763b33d413b54a518e883,498,-3711,2010-10-01T00:00:00+00:00,2011-02-10T17:00:00+00:00
CVE-2010-4172,apache,tomcat,5971f9392edc6d70808b2599b062b050fcd11d23,636,-145,2010-11-04T00:00:00+00:00,2010-11-26T19:00:00+00:00
CVE-2010-4237,dscho,hg,4ea63fb25ceeeaaa4cd1026f733b7ea7672c30b3,-240,-16936,2010-11-15T00:00:00+00:00,2019-10-29T17:07:34+00:00
CVE-2010-4237,dscho,hg,89baabf4fb7abf30ef6fdcf3d455a7893e5cc145,-393,-17089,2010-11-15T00:00:00+00:00,2019-10-29T17:07:34+00:00
CVE-2010-4340,apache,libcloud,87ee61e6ba03a43dcefea2ce180988bec066b6fd,-9,-435,2010-11-30T00:00:00+00:00,2011-09-11T20:00:00+00:00
CVE-2010-4476,apache,tomcat,407841c426dc52a4c6b8ccd297df6c484a540056,1732,-377,2010-12-06T00:00:00+00:00,2011-02-17T18:31:00+00:00
CVE-2010-4476,apache,tomcat,69ef147c4498397e8f644a0699cf588b45a05120,1734,-375,2010-12-06T00:00:00+00:00,2011-02-17T18:31:00+00:00
CVE-2010-4476,apache,tomcat,b0c1eeaa0d303bcb42651b222037e079d0634c01,1733,-376,2010-12-06T00:00:00+00:00,2011-02-17T18:31:00+00:00
CVE-2010-5312,jquery,jquery-ui,7e9060c109b928769a664dbcc2c17bd21231b6f3,-1061,-1062,2014-11-14T00:00:00+00:00,2014-11-24T00:00:00+00:00
CVE-2010-5327,liferay,liferay-portal,90c4e85a8f8135f069f3f05e4d54a77704769f91,-141448,-154096,2016-09-08T00:00:00+00:00,2017-01-13T19:00:00+00:00
CVE-2011-0013,apache,tomcat,58223c5ecc0751c3642c810f291b8f033d33b97f,1006,-1051,2010-12-07T00:00:00+00:00,2011-02-18T23:00:00+00:00
CVE-2011-0534,apache,tomcat,008447095ce8c3a8f713093d5e618f3f06f94ea8,201,-222,2011-01-20T00:00:00+00:00,2011-02-10T17:00:00+00:00
CVE-2011-1088,apache,tomcat,f528992ec6cd7b62c9ced5b3a7dc4cda6bfd1a5e,299,-344,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,ee627412570268df47a075f5d4dc5f7debf39fad,301,-342,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,ece65c1a428094b1c6c17de3d7593f64e1bb1286,298,-345,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,dd10265436ea8b2fe35f1a8b09bc7390acbea269,273,-370,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,dbac5e24759954daed3c584abb5d466fcf42dd4b,268,-375,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,b1d1047a4c0a7754cabf57ac0303f92e4e77ef58,478,-165,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,9c90bdc1ad942374b1bb6b147613497970b3c8e1,484,-159,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,880b1a4fc424625b56c8bcd9ebf6bfe966a1dadd,267,-376,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,63fd724e129b647b7d9026ae29513dd6b774b4b5,272,-371,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,5c8560f3054982abaa476d87ec031c439d58d66e,266,-377,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,3e5b0455483eed55752047073e92403bfca8d3ec,483,-160,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,3ac2b5c1611af51ee5438fd32a3254a2de1878ce,271,-372,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,2d7dbfe4c63a4242a9b28fdb662d91ceb7a84630,270,-373,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,1b2d5e90d271ab087a36b556eb17519454170529,486,-157,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,149af600532df6a24b1f7fc93607d764dfc9a7ea,269,-374,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,13fe121edb6f2b597d2b82725f1b01296ac78ebd,477,-166,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,0ff4905158b77787a7f3aca55c9dec93456665dc,475,-168,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,0f95cb7401acdbfc9b65c878948b84bb496f2386,300,-343,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,0a5a19f0c3b8d199b7335da5f88e956f59926673,485,-158,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1088,apache,tomcat,02780bbc6089a12b19d3d5e5dc810455ac6bfe92,476,-167,2011-02-24T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1183,apache,tomcat,b7b5c63a932f6c1ea05f9b65ad9054247bb5af57,763,-133,2011-03-03T00:00:00+00:00,2011-04-08T15:00:00+00:00
CVE-2011-1184,apache,tomcat,639e20992a66d7a42fb59c974db91c8a0f730a1e,779,-4742,2011-03-03T00:00:00+00:00,2012-01-14T21:00:00+00:00
CVE-2011-1419,apache,tomcat,0ff4905158b77787a7f3aca55c9dec93456665dc,-141,-168,2011-03-14T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1419,apache,tomcat,3e5b0455483eed55752047073e92403bfca8d3ec,-133,-160,2011-03-14T00:00:00+00:00,2011-03-14T19:00:00+00:00
CVE-2011-1475,apache,tomcat,d2e8f2ede7dea39f75f68384f331f38f094e4ed3,148,-289,2011-03-21T00:00:00+00:00,2011-04-08T15:00:00+00:00
CVE-2011-1475,apache,tomcat,fd8a579e0e2379a84826b11700adf396e4ed2041,152,-285,2011-03-21T00:00:00+00:00,2011-04-08T15:00:00+00:00
CVE-2011-1498,apache,httpcomponents-client,a572756592c969affd0ce87885724e74839176fb,-24,-66,2011-03-21T00:00:00+00:00,2011-07-07T21:00:00+00:00
CVE-2011-1582,apache,tomcat,299b26af66793438c323ea6b18462fa44683080f,394,-242,2011-04-05T00:00:00+00:00,2011-05-20T22:00:00+00:00
CVE-2011-2087,apache,struts,1736b56db702c6639a6d5ae1146dba5a262e3344,-30,-30,2011-05-13T00:00:00+00:00,2011-05-13T17:00:00+00:00
CVE-2011-2088,apache,struts,885ab3459e146ff830d1f7257f809f4a3dd4493a,-53,-53,2011-05-13T00:00:00+00:00,2011-05-13T17:00:00+00:00
CVE-2011-2204,apache,tomcat,763a56b45999653ce648a18462b8a826809215b1,894,-119,2011-05-31T00:00:00+00:00,2011-06-29T17:00:00+00:00
CVE-2011-2481,apache,tomcat,279e4451cb996f810fbca2f78b6340412d9daa7b,460,-1290,2011-06-15T00:00:00+00:00,2011-08-15T21:00:00+00:00
CVE-2011-2526,apache,tomcat,1d372c881eafd9ffe729996f8560fd5fe50cd39d,1288,-30,2011-06-15T00:00:00+00:00,2011-07-14T23:00:00+00:00
CVE-2011-2526,apache,tomcat,2e69497fa7b1444632c6dadb64a4a82e18478ee6,1296,-22,2011-06-15T00:00:00+00:00,2011-07-14T23:00:00+00:00
CVE-2011-2526,apache,tomcat,48dded4ab1209a030770ab67a789d3b2528b6329,1280,-38,2011-06-15T00:00:00+00:00,2011-07-14T23:00:00+00:00
CVE-2011-2526,apache,tomcat,ff8789737a0a64c12d68929497f16d8021052048,1264,-54,2011-06-15T00:00:00+00:00,2011-07-14T23:00:00+00:00
CVE-2011-2730,spring-projects,spring-framework,62ccc8dd7e645fb91705d44919abac838cb5ca3f,1513,-77,2011-07-11T00:00:00+00:00,2012-12-05T17:00:00+00:00
CVE-2011-2730,spring-projects,spring-framework,9772eb8410e37cd0bdec0d1b133218446c778beb,1502,-88,2011-07-11T00:00:00+00:00,2012-12-05T17:00:00+00:00
CVE-2011-2730,spring-projects,spring-framework,b8d86330d1fadc645630416c3aaebf131bf749fc,1514,-76,2011-07-11T00:00:00+00:00,2012-12-05T17:00:00+00:00
CVE-2011-2765,irmen,Pyro3,554e095a62c4412c91f981e72fd34a936ac2bf1e,2,-16,2011-07-19T00:00:00+00:00,2018-08-20T13:00:00+00:00
CVE-2011-3147,openstack,nova,ff9d353b2f4fee469e530fbc8dc231a41f6fed84,1165,-43320,2011-08-16T00:00:00+00:00,2019-04-22T15:35:58+00:00
CVE-2011-3190,apache,tomcat,a2538ce78f83b7376c48d12d8247600079d789b1,85,-20,2011-08-19T00:00:00+00:00,2011-08-31T23:00:00+00:00
CVE-2011-3375,apache,tomcat,9eae334e9492f55a841e6eb7ab302ff11d03ab21,395,-1493,2011-08-30T00:00:00+00:00,2012-01-19T02:00:00+00:00
CVE-2011-3587,zopefoundation,Zope,491a583d8c6622b80c75917e5017c4bb4b15e477,3,-8,2011-09-21T00:00:00+00:00,2011-10-10T10:00:00+00:00
CVE-2011-3587,zopefoundation,Zope,6bb2fb3c04a76b00bec9bd7c069733e06fa6ebe9,2,-9,2011-09-21T00:00:00+00:00,2011-10-10T10:00:00+00:00
CVE-2011-4076,openstack,nova,beee11edbfdd82cd81bc9c0fd75912c167892c2b,-2001,-46959,2011-10-18T00:00:00+00:00,2019-11-26T03:53:58+00:00
CVE-2011-4104,toastdriven,django-tastypie,e8af315211b07c8f48f32a063233cc3f76dd5bc2,1,-547,2011-10-18T00:00:00+00:00,2014-10-27T01:00:00+00:00
CVE-2011-4343,apache,myfaces,a74b551b2ce6e88101ff453389a761f230e428a1,33,-990,2011-11-04T00:00:00+00:00,2017-08-08T21:00:00+00:00
CVE-2011-4356,celery,celery,53514b158b743678d8993638be5920cd09ccc35c,74,-111,2011-11-04T00:00:00+00:00,2011-12-05T11:00:00+00:00
CVE-2011-4457,OWASP,java-html-sanitizer,2027d3df73f62eb30b7f08269f346989f03144bd,-2,-2,2011-11-16T00:00:00+00:00,2011-11-17T23:00:00+00:00
CVE-2011-4461,eclipse,jetty.project,085c79d7d6cfbccc02821ffdb64968593df3e0bf,209,0,2011-11-17T00:00:00+00:00,2011-12-30T01:00:00+00:00
CVE-2011-4596,openstack,nova,ad3241929ea00569c74505ed002208ce360c667e,36,-255,2011-11-29T00:00:00+00:00,2011-12-23T22:00:00+00:00
CVE-2011-4905,apache,activemq,3a71f8e33d0309cb0ca5b5758a8f251da205e757,-34,-46,2011-12-23T00:00:00+00:00,2012-01-05T16:00:00+00:00
CVE-2011-4905,apache,activemq,9df9d3e89140b7329654ad5675259ec6f0c4b3a7,-26,-38,2011-12-23T00:00:00+00:00,2012-01-05T16:00:00+00:00
CVE-2011-4905,apache,activemq,da7f9962c640666a743675085922bf75a656f81b,-33,-45,2011-12-23T00:00:00+00:00,2012-01-05T16:00:00+00:00
