,Unnamed: 0,cve,owner,repo,patch,reserve_idx_diff,publish_idx_diff,reserve_time,publish_time
8,23,CVE-2008-6505,apache,struts,04fcefa44bae1263c7cad6986a9dafed67f0164f,-164,-164,2009-03-23T00:00:00+00:00,2009-03-23T14:00:00+00:00
9,24,CVE-2008-6505,apache,struts,1f1c996eb1f0f3e2193fba0075f62ccd04e3c0c3,-160,-160,2009-03-23T00:00:00+00:00,2009-03-23T14:00:00+00:00
10,25,CVE-2008-6682,apache,struts,09147ffad2b3046ed21af0f524c5088e2ac551e6,-436,-437,2009-04-09T00:00:00+00:00,2009-04-09T15:00:00+00:00
11,26,CVE-2008-6682,apache,struts,bd3f2f59c9b09f70aed3ebab6bb69b464ee2d6cb,-430,-431,2009-04-09T00:00:00+00:00,2009-04-09T15:00:00+00:00
12,27,CVE-2008-6682,apache,struts,dae026a0f0511f83852053bae9d5a622e7f80486,-421,-422,2009-04-09T00:00:00+00:00,2009-04-09T15:00:00+00:00
13,28,CVE-2009-0026,apache,jackrabbit,36330ae8df40ceaddf9f3f95b8d4855b54921579,19,-29,2008-12-15T00:00:00+00:00,2009-01-21T20:00:00+00:00
14,29,CVE-2009-0026,apache,jackrabbit,fbdcc02bc35db1d23b527da7bc411087ef29bf1f,18,-30,2008-12-15T00:00:00+00:00,2009-01-21T20:00:00+00:00
16,31,CVE-2009-2625,apache,xerces2-j,0bdf77af1d4fd26ec2e630fb6d12e2dfa77bc12b,-5,-6,2009-07-28T00:00:00+00:00,2009-08-06T15:00:00+00:00
25,51,CVE-2010-0684,apache,activemq,2895197d0dad246757d8d1d9eea181cbf0543ae9,86,4,2010-02-22T00:00:00+00:00,2010-04-05T16:00:00+00:00
26,52,CVE-2010-0684,apache,activemq,fed39c3619825bd92990cf1aa7a4e85119e00a6e,6,-76,2010-02-22T00:00:00+00:00,2010-04-05T16:00:00+00:00
29,57,CVE-2010-2273,dojo,dojo,9117ffd5a3863e44c92fcd58564c0da22be858f4,1896,1896,2010-06-14T00:00:00+00:00,2010-06-14T19:00:00+00:00
36,69,CVE-2010-5312,jquery,jquery-ui,7e9060c109b928769a664dbcc2c17bd21231b6f3,-1061,-1062,2014-11-14T00:00:00+00:00,2014-11-24T00:00:00+00:00
37,101,CVE-2011-2087,apache,struts,1736b56db702c6639a6d5ae1146dba5a262e3344,-30,-30,2011-05-13T00:00:00+00:00,2011-05-13T17:00:00+00:00
38,102,CVE-2011-2088,apache,struts,885ab3459e146ff830d1f7257f809f4a3dd4493a,-53,-53,2011-05-13T00:00:00+00:00,2011-05-13T17:00:00+00:00
