,owner,repo,mrr,recall100,recall500,recall1000,recall2000,recall5000,recall10000,commit_count,cve_count,Unnamed: 11
0,torvalds,linux,0.1546846055,0.6939130435,0.8008695652,0.8334782609,0.8613043478,0.8930434783,0.9239130435,1000000.0,1150,0.3313131313
2,wireshark,wireshark,0.1409373245,0.5822368421,0.8486842105,0.9572368421,0.9967105263,1.0,1.0,93934.0,304,0.6331744108
3,FFmpeg,FFmpeg,0.2145298324,0.6483050847,0.813559322,0.8686440678,0.9110169492,0.9406779661,0.9449152542,97430.0,236,0.7509635292
4,ImageMagick,ImageMagick,0.1412170418,0.6715976331,0.8846153846,0.9171597633,0.9763313609,1.0,1.0,22543.0,169,0.7945476725
5,qemu,qemu,0.5550843225,0.8561643836,0.9109589041,0.9383561644,0.9520547945,0.9657534247,0.9794520548,95630.0,146,0.504758699
6,php,php-src,0.2710709565,0.7328767123,0.8938356164,0.948630137,0.9726027397,0.9931506849,0.9931506849,100000.0,146,0.0
7,vim,vim,0.2504236161,1.0,1.0,1.0,1.0,1.0,1.0,19539.0,135,0.2192048598
8,moodle,moodle,0.1183850867,0.3949579832,0.6806722689,0.8655462185,0.9663865546,0.9915966387,1.0,92255.0,119,0.4871763085
9,phpmyadmin,phpmyadmin,0.07964649328,0.7368421053,0.8736842105,0.9263157895,0.9473684211,0.9894736842,1.0,100000.0,95,0.5166101381
11,ruby,openssl,0.3637580934,0.7365591398,0.8978494624,0.935483871,0.9569892473,0.9677419355,1.0,35931.0,93,0.4965764983
12,gpac,gpac,0.08465597057,0.5930232558,0.8837209302,0.9302325581,0.9418604651,0.976744186,0.976744186,17194.0,86,1.010501443
13,radareorg,radare2,0.1909899911,0.7976190476,0.9404761905,1.0,1.0,1.0,1.0,27251.0,84,0.4263772176
14,facebook,hhvm,0.3779708899,0.55,0.575,0.6,0.675,0.825,0.9,72683.0,40,0.7072018297
15,krb5,krb5,0.8586507937,1.0,1.0,1.0,1.0,1.0,1.0,20182.0,30,0.8398240104
16,mruby,mruby,0.3667723412,0.8666666667,0.9,0.9,0.9,0.9,0.9,12087.0,30,0.6072651144
17,mdadams,jasper,0.2510195234,0.7692307692,1.0,1.0,1.0,1.0,1.0,1424.0,26,0.5808398491
18,FreeRDP,FreeRDP,0.3422583193,0.6818181818,0.7272727273,0.8181818182,1.0,1.0,1.0,16432.0,22,0.5610731793
19,vadz,libtiff,0.4251513687,0.9090909091,1.0,1.0,1.0,1.0,1.0,3006.0,22,0.9106481481
20,libarchive,libarchive,0.4401370175,0.7619047619,1.0,1.0,1.0,1.0,1.0,6078.0,21,0.5893835818
22,OpenSC,OpenSC,0.1565731261,0.3,0.75,1.0,1.0,1.0,1.0,10107.0,20,0.1685660454
23,LibVNC,libvncserver,0.4418355277,1.0,1.0,1.0,1.0,1.0,1.0,1804.0,19,0.524576443
24,rdesktop,rdesktop,0.9605263158,1.0,1.0,1.0,1.0,1.0,1.0,1936.0,19,0.3010093282
25,dbry,WavPack,0.5626650234,0.8888888889,1.0,1.0,1.0,1.0,1.0,947.0,18,0.2297543602
26,uclouvain,openjpeg,0.4240560866,0.8888888889,1.0,1.0,1.0,1.0,1.0,2852.0,18,0.2079816886
27,neomutt,neomutt,0.1850110005,0.5555555556,1.0,1.0,1.0,1.0,1.0,16529.0,18,0.5476087879
28,pjsip,pjproject,0.1081147266,0.5294117647,1.0,1.0,1.0,1.0,1.0,6550.0,17,0.3599296505
30,nginx,njs,0.3394244108,0.9375,1.0,1.0,1.0,1.0,1.0,2467.0,16,0.7091073246
31,libgd,libgd,0.4509635292,1.0,1.0,1.0,1.0,1.0,1.0,2367.0,13,0.3300297792
32,sqlite,sqlite,0.5022399801,0.9230769231,1.0,1.0,1.0,1.0,1.0,27244.0,13,0.5098437426
33,LibRaw,LibRaw,0.2214253657,0.8333333333,1.0,1.0,1.0,1.0,1.0,2391.0,12,0.4997698069
36,bfabiszewski,libmobi,0.1871763085,1.0,1.0,1.0,1.0,1.0,1.0,285.0,11,1.006666667
37,miniupnp,miniupnp,0.2166101381,1.0,1.0,1.0,1.0,1.0,1.0,2273.0,10,0.7990116801
38,kkos,oniguruma,0.1896248196,1.0,1.0,1.0,1.0,1.0,1.0,3137.0,10,0.7543650794
39,espruino,Espruino,0.2265764983,0.7,1.0,1.0,1.0,1.0,1.0,14503.0,10,0.5039960856
40,xkbcommon,libxkbcommon,0.710501443,1.0,1.0,1.0,1.0,1.0,1.0,2340.0,10,0.7577631579
41,jsummers,imageworsener,0.1263772176,1.0,1.0,1.0,1.0,1.0,1.0,525.0,9,0.4482924469
42,envoyproxy,envoy,0.4627573853,0.6666666667,0.8888888889,0.8888888889,1.0,1.0,1.0,23701.0,9,0.5906182796
43,lua,lua,0.5398240104,1.0,1.0,1.0,1.0,1.0,1.0,5652.0,9,0.5299243143
44,redis,redis,0.3322651144,0.75,1.0,1.0,1.0,1.0,1.0,10876.0,8,0.6441666667
45,kyz,libmspack,0.2808398491,1.0,1.0,1.0,1.0,1.0,1.0,421.0,8,0.5163442096
46,VirusTotal,yara,0.2610731793,1.0,1.0,1.0,1.0,1.0,1.0,2975.0,8,0.4100998348
47,nothings,stb,0.6106481481,1.0,1.0,1.0,1.0,1.0,1.0,1761.0,8,0.7083251874
48,ntop,nDPI,0.3143835818,0.75,1.0,1.0,1.0,1.0,1.0,4516.0,8,1.066666667
51,erikd,libsndfile,0.224576443,1.0,1.0,1.0,1.0,1.0,1.0,3085.0,7,0.5081485431
52,openssh,openssh-portable,0.02958075672,0.7142857143,1.0,1.0,1.0,1.0,1.0,12853.0,7,0.5190483878
55,memcached,memcached,0.2642754546,0.8333333333,1.0,1.0,1.0,1.0,1.0,2169.0,6,0.519047619
56,inspircd,inspircd,0.1765963171,0.5,0.6666666667,0.6666666667,0.8333333333,1.0,1.0,16081.0,6,0.27962229
57,znc,znc,0.3639904024,0.8333333333,1.0,1.0,1.0,1.0,1.0,5019.0,6,0.9666666667
58,videolan,vlc,0.4091073246,1.0,1.0,1.0,1.0,1.0,1.0,100000.0,6,0.7730392157
59,systemd,systemd,0.09669644585,0.6666666667,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,48111.0,6,0.9333333333
60,qpdf,qpdf,0.2265104093,0.8333333333,1.0,1.0,1.0,1.0,1.0,3467.0,6,0.6857142857
61,zmartzone,mod_auth_openidc,0.1997698069,1.0,1.0,1.0,1.0,1.0,1.0,1774.0,6,0.3739088413
62,flatpak,flatpak,0.2639072916,0.8333333333,1.0,1.0,1.0,1.0,1.0,7502.0,6,0.5522788066
63,DanBloomberg,leptonica,0.7286324786,1.0,1.0,1.0,1.0,1.0,1.0,1494.0,6,0.05178772463
