cve,file_func_name
CVE-2002-2443,"schpw.c, krb_pingpong.nasl"
CVE-2006-3635,
CVE-2006-5331,"altivec_unavailable_exception, arch/powerpc/kernel/traps.c, CONFIG_ALTIVEC"
CVE-2007-6761,"drivers/media/video/videobuf-vmalloc.c, videobuf_mapping"
CVE-2007-6762,"net/netlabel/netlabel_cipso_v4.c, doi_def->tags[]"
CVE-2008-4539,
CVE-2008-7316,mm/filemap.c
CVE-2009-0385,"fourxm_read_header, libavformat/4xm.c"
CVE-2009-1194,"pango_glyph_string_set_size, pango/glyphstring.c"
CVE-2009-3616,vnc.c
CVE-2009-3627,"decode_entities, util.c"
CVE-2010-1152,memcached.c
CVE-2010-1155,
CVE-2010-2060,"dispatch_cmd, prot.c"
CVE-2010-2958,libraries/Error.class.php
CVE-2010-3055,scripts/setup.php
CVE-2010-3429,flicvideo.c
CVE-2010-3844,
CVE-2010-4250,"inotify_init1, fs/notify/inotify/inotify_user.c"
CVE-2010-4329,"PMA_linkOrButton, libraries/common.lib.php"
CVE-2010-4481,phpinfo.php
CVE-2010-4648,"orinoco_ioctl_set_auth, drivers/net/wireless/orinoco/wext.c"
CVE-2010-4650,"fuse_do_ioctl, fs/fuse/file.c"
CVE-2010-4704,"vorbis_floor0_decode, libavcodec/vorbis_dec.c"
CVE-2010-5313,arch/x86/kvm/x86.c
CVE-2010-5328,include/linux/init_task.h
CVE-2010-5329,"video_usercopy, drivers/media/video/v4l2-ioctl.c, v4l2_ext_controls"
CVE-2010-5331,drivers/gpu/drm/radeon/atombios.c
CVE-2010-5332,"mlx4_register_vlan, mlx4_register_mac, drivers/net/mlx4/port.c"
CVE-2011-0006,"ima_lsm_rule_init, security/integrity/ima/ima_policy.c"
CVE-2011-0480,vorbis_dec.c
CVE-2011-0530,nbd-server.c
CVE-2011-0716,"br_multicast_add_group, net/bridge/br_multicast.c"
CVE-2011-0986,"README, ChangeLog, LICENSE"
CVE-2011-0987,"PMA_Bookmark_get, libraries/bookmark.lib.php"
CVE-2011-1019,"dev_load, net/core/dev.c"
CVE-2011-1021,"drivers/acpi/debugfs.c, /sys/kernel/debug/acpi/custom_method"
CVE-2011-1023,
CVE-2011-1078,"sco_sock_getsockopt_old, net/bluetooth/sco.c"
CVE-2011-1079,"bnep_sock_ioctl, net/bluetooth/bnep/sock.c"
CVE-2011-1080,"do_replace, net/bridge/netfilter/ebtables.c"
CVE-2011-1160,"tpm_open, drivers/char/tpm/tpm.c"
CVE-2011-1180,"iriap_getvaluebyclass_indication, net/irda/iriap.c"
CVE-2011-1182,kernel/signal.c
CVE-2011-1476,/dev/sequencer
CVE-2011-1477,sound/oss/opl3.c
CVE-2011-1479,
CVE-2011-1488,$RepeatedMsgReduction
CVE-2011-1489,
CVE-2011-1490,
CVE-2011-1493,"rose_parse_national, net/rose/rose_subr.c"
CVE-2011-1575,ftp_parser.c
CVE-2011-1585,"cifs_find_smb_ses, fs/cifs/connect.c"
CVE-2011-1759,"sys_oabi_semtimedop, arch/arm/kernel/sys_oabi-compat.c, CONFIG_OABI_COMPAT"
CVE-2011-1767,net/ipv4/ip_gre.c
CVE-2011-1768,
CVE-2011-1833,"ecryptfs_mount, fs/ecryptfs/main.c"
CVE-2011-1927,"ip_expire, net/ipv4/ip_fragment.c, ICMP_TIME_EXCEEDED"
CVE-2011-1931,sp5xdec.c
CVE-2011-1940,"libraries/tbl_links.inc.php, tbl_tracking.php"
CVE-2011-1941,
CVE-2011-2161,"ape_read_header, ape.c"
CVE-2011-2182,"ldm_frag_add, fs/partitions/ldm.c"
CVE-2011-2183,"scan_get_next_rmap_item, mm/ksm.c"
CVE-2011-2208,"osf_getdomainname, arch/alpha/kernel/osf_sys.c"
CVE-2011-2209,"osf_sysinfo, arch/alpha/kernel/osf_sys.c"
CVE-2011-2210,"osf_getsysinfo, arch/alpha/kernel/osf_sys.c, GSI_GET_HWRPB"
CVE-2011-2211,"osf_wait4, arch/alpha/kernel/osf_sys.c"
CVE-2011-2479,/dev/zero
CVE-2011-2482,"sctp_sock_migrate, net/sctp/socket.c"
CVE-2011-2486,NPNVprivateModeBool
CVE-2011-2491,LOCK_UN
CVE-2011-2493,"ext4_fill_super, fs/ext4/super.c"
CVE-2011-2494,kernel/taskstats.c
CVE-2011-2495,fs/proc/base.c
CVE-2011-2496,"vma_to_resize, mm/mremap.c"
CVE-2011-2505,libraries/auth/swekey/swekey.auth.lib.php
CVE-2011-2506,setup/lib/ConfigGenerator.class.php
CVE-2011-2507,libraries/server_synchronize.lib.php
CVE-2011-2508,libraries/display_tbl.lib.php
CVE-2011-2517,net/wireless/nl80211.c
CVE-2011-2518,"tomoyo_mount_acl, security/tomoyo/mount.c, kern_path"
CVE-2011-2521,"x86_assign_hw_event, arch/x86/kernel/cpu/perf_event.c"
CVE-2011-2642,tbl_printview.php
CVE-2011-2643,sql.php
CVE-2011-2699,
CVE-2011-2707,"ptrace_setxregs, arch/xtensa/kernel/ptrace.c"
CVE-2011-2718,"libraries/schema/User_Schema.class.php, schema_export.php"
CVE-2011-2719,libraries/auth/swekey/swekey.auth.lib.php
CVE-2011-2898,net/packet/af_packet.c
CVE-2011-2905,"perf_config, tools/perf/util/config.c"
CVE-2011-2906,"pmcraid_ioctl_passthrough, drivers/scsi/pmcraid.c"
CVE-2011-2909,"do_devinfo_ioctl, drivers/staging/comedi/comedi_fops.c"
CVE-2011-2918,PERF_COUNT_SW_CPU_CLOCK
CVE-2011-3188,
CVE-2011-3191,"CIFSFindNext, fs/cifs/cifssmb.c"
CVE-2011-3209,"div_long_long_rem, include/asm-x86/div64.h"
CVE-2011-3353,"fuse_notify_inval_entry, fs/fuse/dev.c"
CVE-2011-3359,"dma_rx, drivers/net/wireless/b43/dma.c"
CVE-2011-3362,"decode_residual_block, cavsdec.c"
CVE-2011-3363,"setup_cifs_sb, fs/cifs/connect.c"
CVE-2011-3591,"js/functions.js, js/tbl_structure.js"
CVE-2011-3592,"PMA_unInlineEditRow, js/sql.js"
CVE-2011-3602,device-linux.c
CVE-2011-3619,"apparmor_setprocattr, security/apparmor/lsm.c"
CVE-2011-3637,"m_stop, fs/proc/task_mmu.c"
CVE-2011-3638,fs/ext4/extents.c
CVE-2011-3934,"vp3_update_thread_context, libavcodec/vp3.c"
CVE-2011-3935,"codec_get_buffer, ffmpeg.c"
CVE-2011-3937,libavcodec/h263dec.c
CVE-2011-3940,nsvdec.c
CVE-2011-3941,"decode_mb, libavcodec/error_resilience.c"
CVE-2011-3944,"smacker_decode_header_tree, libavcodec/smacker.c"
CVE-2011-3945,"decode_frame, kgv1dec.c"
CVE-2011-3946,"ff_h264_decode_sei, libavcodec/h264_sei.c"
CVE-2011-3947,mjpegbdec.c
CVE-2011-3973,"decode_residual_block, check_for_slice, cavs_decode_frame, cavsdec.c"
CVE-2011-3974,"decode_residual_inter, cavsdec.c"
CVE-2011-4031,"asfrtp_parse_packet, libavformat/rtpdec_asf.c"
CVE-2011-4080,"sysrq_sysctl_handler, kernel/sysctl.c, dmesg_restrict"
CVE-2011-4081,"ghash_setkey, ghash_update, ghash_final, crypto/ghash-generic.c"
CVE-2011-4086,"journal_unmap_buffer, fs/jbd2/transaction.c"
CVE-2011-4087,"br_parse_ip_options, net/bridge/br_netfilter.c"
CVE-2011-4098,
CVE-2011-4112,"IFF_TX_SKB_SHARING, /proc/net/pktgen/pgctrl"
CVE-2011-4127,
CVE-2011-4131,NFSv4
CVE-2011-4324,"encode_share_access, fs/nfs/nfs4xdr.c"
CVE-2011-4326,"udp6_ufo_fragment, net/ipv6/udp.c"
CVE-2011-4348,"sctp_rcv, net/sctp/input.c"
CVE-2011-4352,"vp3_dequant, vp3.c"
CVE-2011-4364,
CVE-2011-4579,"svq1_decode_frame, svq1dec.c"
CVE-2011-4594,"__sys_sendmsg, net/socket.c"
CVE-2011-4604,"bat_socket_read, net/batman-adv/icmp_socket.c"
CVE-2011-4611,"perf_event_interrupt, arch/powerpc/kernel/perf_event.c"
CVE-2011-4621,
CVE-2011-4634,
CVE-2011-4718,
CVE-2011-4780,libraries/display_export.lib.php
CVE-2011-4782,libraries/config/ConfigFile.class.php
CVE-2011-4913,"rose_parse_ccitt, net/rose/rose_subr.c, FAC_CCITT_DEST_NSAP, FAC_CCITT_SRC_NSAP"
CVE-2011-4914,
CVE-2011-5321,"tty_open, drivers/tty/tty_io.c"
CVE-2011-5327,"tcm_loop_make_naa_tpg, drivers/target/loopback/tcm_loop.c"
CVE-2012-0028,
CVE-2012-0037,
CVE-2012-0038,"xfs_acl_from_disk, fs/xfs/xfs_acl.c"
CVE-2012-0044,"drm_mode_dirtyfb_ioctl, drivers/gpu/drm/drm_crtc.c"
CVE-2012-0045,"em_syscall, arch/x86/kvm/emulate.c"
CVE-2012-0207,"igmp_heard_query, net/ipv4/igmp.c"
CVE-2012-0807,"suhosin_encrypt_single_cookie, suhosin.cookie.encrypt, suhosin.multiheader"
CVE-2012-0848,"ws_snd_decode_frame, libavcodec/ws-snd1.c"
CVE-2012-0850,"sbr_qmf_synthesis, libavcodec/aacsbr.c, v_off"
CVE-2012-0851,"ff_h264_decode_seq_parameter_set, h264_ps.c, chroma_format_idc"
CVE-2012-0852,"adpcm_decode_frame, adpcm.c"
CVE-2012-0853,"decodeTonalComponents, atrac3.c"
CVE-2012-0854,"dpcm_decode_frame, libavcodec/dpcm.c"
CVE-2012-0858,shorten.c
CVE-2012-0859,"render_line, vorbis.c"
CVE-2012-0879,CLONE_IO
CVE-2012-0957,"override_release, kernel/sys.c"
CVE-2012-1013,"check_1_6_dummy, lib/kadm5/srv/svr_principal.c"
CVE-2012-1097,".get, .set, PTRACE_GETREGSET, PTRACE_SETREGSET"
CVE-2012-1107,"analyzeCurrent, ape/apeproperties.cpp"
CVE-2012-1108,ogg/xiphcomment.cpp
CVE-2012-1146,"mem_cgroup_usage_unregister_event, mm/memcontrol.c"
CVE-2012-1176,fribidi_utf8_to_unicode
CVE-2012-1190,"replication-setup, js/replication.js"
CVE-2012-1583,"xfrm6_tunnel_rcv, net/ipv6/xfrm6_tunnel.c"
CVE-2012-1584,toolkit/tbytevector.cpp
CVE-2012-1902,show_config_errors.php
CVE-2012-1909,
CVE-2012-2100,"ext4_fill_flex_info, fs/ext4/super.c, FLEX_BG, s_log_groups_per_flex"
CVE-2012-2119,
CVE-2012-2123,"cap_bprm_set_creds, security/commoncap.c"
CVE-2012-2127,"fs/proc/root.c, CLONE_NEWPID"
CVE-2012-2133,
CVE-2012-2136,"sock_alloc_send_pskb, net/core/sock.c"
CVE-2012-2143,crypt_des
CVE-2012-2313,"rio_ioctl, drivers/net/ethernet/dlink/dl2k.c"
CVE-2012-2319,
CVE-2012-2375,"__nfs4_get_acl_uncached, fs/nfs/nfs4proc.c"
CVE-2012-2383,"i915_gem_execbuffer2, drivers/gpu/drm/i915/i915_gem_execbuffer.c"
CVE-2012-2384,"i915_gem_do_execbuffer, drivers/gpu/drm/i915/i915_gem_execbuffer.c"
CVE-2012-2386,"phar_parse_tarfile, tar.c"
CVE-2012-2390,"mm/hugetlb.c, MAP_HUGETLB"
CVE-2012-2669,tools/hv/hv_kvp_daemon.c
CVE-2012-2674,"chk_malloc, leak_malloc, leak_memalign, libc/bionic/malloc_debug_leak.c, libc.debug.malloc"
CVE-2012-2675,"CallMalloc, nedmalloc.c"
CVE-2012-2744,net/ipv6/netfilter/nf_conntrack_reasm.c
CVE-2012-2745,"copy_creds, kernel/cred.c"
CVE-2012-2772,"ff_rv34_decode_frame, libavcodec/rv34.c"
CVE-2012-2775,"read_var_block_data, libavcodec/alsdec.c"
CVE-2012-2776,"decode_cell_data, libavcodec/indeo3.c"
CVE-2012-2777,"decode_pic, libavcodec/cavsdec.c"
CVE-2012-2779,"decode_frame, libavcodec/indeo5.c"
CVE-2012-2783,libavcodec/vp56.c
CVE-2012-2784,"decode_pic, libavcodec/cavsdec.c"
CVE-2012-2786,"decode_wdlt, libavcodec/dfa.c"
CVE-2012-2787,"decode_frame, libavcodec/indeo4.c"
CVE-2012-2788,"avi_read_packet, libavformat/avidec.c"
CVE-2012-2789,"avi_read_packet, libavformat/avidec.c, num_vec_coeffs"
CVE-2012-2790,"read_var_block_data, libavcodec/alsdec.c"
CVE-2012-2791,"decode_band_hdr, ff_ivi_decode_blocks, indeo4.c, ivi_common.c, libavcodec/"
CVE-2012-2793,"lag_decode_zero_run_line, libavcodec/lagarith.c"
CVE-2012-2794,"decode_mb_info, libavcodec/indeo5.c"
CVE-2012-2796,"vc1_decode_frame, libavcodec/vc1dec.c"
CVE-2012-2797,"decode_frame_mp3on4, libavcodec/mpegaudiodec.c"
CVE-2012-2798,"decode_dds1, libavcodec/dfa.c"
CVE-2012-2800,"ff_ivi_process_empty_tile, libavcodec/ivi_common.c"
CVE-2012-2801,libavcodec/avs.c
CVE-2012-2802,"ac3_decode_frame, libavcodec/ac3dec.c"
CVE-2012-2803,"mpeg_decode_frame, libavcodec/mpeg12.c"
CVE-2012-2804,libavcodec/indeo3.c
CVE-2012-3363,"Zend_XmlRpc, SimpleXMLElement"
CVE-2012-3364,
CVE-2012-3375,"epoll_ctl, fs/eventpoll.c, EPOLL_CTL_ADD"
CVE-2012-3400,"udf_load_logicalvol, fs/udf/super.c"
CVE-2012-3430,"rds_recvmsg, net/rds/recv.c"
CVE-2012-3501,"squidclamav_check_preview_handler, squidclamav.c"
CVE-2012-3510,"xacct_add_tsk, kernel/tsacct.c, TASKSTATS_CMD_ATTR_PID"
CVE-2012-3511,"madvise_remove, mm/madvise.c"
CVE-2012-3520,SCM_CREDENTIALS
CVE-2012-3552,
CVE-2012-4219,"show_config_errors.php, common.inc.php"
CVE-2012-4444,"ip6_frag_queue, net/ipv6/reassembly.c"
CVE-2012-4467,"do_siocgstamp, do_siocgstampns, net/socket.c"
CVE-2012-4508,fs/ext4/extents.c
CVE-2012-4530,"load_script, fs/binfmt_script.c"
CVE-2012-4565,"tcp_illinois_info, net/ipv4/tcp_illinois.c, net.ipv4.tcp_congestion_control"
CVE-2012-5116,
CVE-2012-5374,CRC32C
CVE-2012-5375,CRC32C
CVE-2012-5517,"online_pages, mm/memory_hotplug.c"
CVE-2012-5532,tools/hv/hv_kvp_daemon.c
CVE-2012-6075,"e1000_receive, hw/e1000.c"
CVE-2012-6112,classes/GoogleSpell.php
CVE-2012-6113,"openssl_encrypt, ext/openssl/openssl.c"
CVE-2012-6536,net/xfrm/xfrm_user.c
CVE-2012-6537,net/xfrm/xfrm_user.c
CVE-2012-6538,"copy_to_user_auth, net/xfrm/xfrm_user.c"
CVE-2012-6539,"dev_ifconf, net/socket.c"
CVE-2012-6540,"do_ip_vs_get_ctl, net/netfilter/ipvs/ip_vs_ctl.c, IP_VS_SO_GET_TIMEOUT"
CVE-2012-6541,"ccid3_hc_tx_getsockopt, net/dccp/ccids/ccid3.c"
CVE-2012-6542,"llc_ui_getname, net/llc/af_llc.c"
CVE-2012-6543,"l2tp_ip6_getname, net/l2tp/l2tp_ip6.c"
CVE-2012-6544,"L2CAP, HCI"
CVE-2012-6545,
CVE-2012-6546,ATM
CVE-2012-6547,"__tun_chr_ioctl, drivers/net/tun.c"
CVE-2012-6548,"udf_encode_fh, fs/udf/namei.c"
CVE-2012-6549,"isofs_export_encode_fh, fs/isofs/export.c"
CVE-2012-6617,"prepare_sdp_description, ffserver.c"
CVE-2012-6618,"av_probe_input_buffer, libavformat/utils.c"
