,owner,repo,avg_patch_token_count
1490,jsreport,jsreport,45232244.0
486,bcgit,bc-java,5554722.666666667
2322,tobychui,zoraxy,3973591.5
1441,jgraph,mxgraph,2987909.0
468,aws,aws-sdk-java,2278572.0
1982,pocketbase,pocketbase,1651506.0
1960,pingidentity,ldapsdk,1485135.0
2377,vanessa219,vditor,1147246.0
1595,lightning-ai,pytorch-lightning,894080.0
647,cronvel,terminal-kit,699493.0
1979,plotly,dash,686557.0
1034,heroiclabs,nakama,685253.0
1531,kimmobrunfeldt,progressbar.js,643544.0
68,Formstone,Formstone,579592.0
89,IceWhaleTech,CasaOS,504890.3333333333
575,ckeditor,ckeditor4,389226.6666666667
1756,mscdex,ssh2,384976.0
1480,jquery-ui-rails,jquery-ui-rails,353492.0
656,cvxopt,cvxopt,341242.0
1087,indutny,elliptic,335170.71428571426
2403,vriteio,vrite,334633.0
898,futurepress,epub.js,319871.0
655,cure53,DOMPurify,309203.25
1453,joeattardi,emoji-button,305306.5
221,TooTallNate,plist.js,303606.0
2458,xiboon,kurwov,288068.0
1226,jenkinsci,dependency-check-plugin,285935.0
812,evmos,evmos,285049.0
99,JSONPath-Plus,JSONPath,284722.5
558,chaijs,get-func-name,257061.0
1539,kjur,jsrsasign,240821.66666666666
2454,xCss,Valine,235468.0
677,decentraland,single-sign-on-client,221334.0
62,FasterXML,jackson-dataformats-binary,218378.5
1810,node-red,node-red-dashboard,192394.0
1573,langchain-ai,langchain,191066.26315789475
1476,jpuri,react-draft-wysiwyg,184044.0
1134,jashkenas,underscore,176455.0
31,BishopFox,sliver,174229.25
1647,mardiros,pyshop,167467.0
2391,victornpb,asciitable.js,163432.0
2193,skratchdot,object-path-set,145635.0
1008,handsontable,formula-parser,133527.0
1646,marcelodolza,iziModal,126221.0
844,fastify,fastify-passport,124404.0
3,3rd-Eden,useragent,118448.0
2090,richfaces,richfaces,117740.0
1026,hashicorp,terraform,117524.0
1112,isaacs,minimatch,117353.0
2488,yuda-lyu,w-zip,115174.0
2272,strikeentco,set,112890.0
608,codenotary,immudb,112455.0
551,cdent,pastescript,107372.0
4,75lb,deep-merge,101223.0
2402,voodoocreation,ts-deepmerge,96904.0
1942,peerigon,angular-expressions,94928.0
455,auth0,express-openid-connect,94290.5
535,bustle,mobiledoc-kit,88001.0
2426,webpack,loader-utils,87224.0
1599,linkedin,dustjs,86823.0
2407,vvakame,fs-git,85905.0
1671,maximebf,php-debugbar,81017.0
1760,mycolorway,simditor,80286.0
628,containers,storage,75258.0
2104,rooseveltframework,teddy,74981.0
890,frenchbread,private-ip,74394.0
1564,kucherenko,blamer,73064.5
1214,jenkinsci,copyartifact-plugin,71676.0
1805,nocodb,nocodb,69922.0
943,gogo,protobuf,69346.0
2281,swagger-api,swagger-codegen,67234.5
2016,pubnub,go,65467.0
1582,leeoniya,uPlot,61719.0
2349,twbs,bootstrap-rubygem,61599.0
286,alvarotrigo,fullpage.js,59247.0
2068,redis,redis-py,59207.0
168,PeterMu,nodebatis,58946.0
457,auth0,nextjs-auth0,56842.5
1878,openpgpjs,openpgpjs,56643.0
184,RasaHQ,rasa,56473.0
2189,sintaxi,harp,51629.0
208,Stuk,jszip,49026.5
266,ahdinosaur,set-in,48343.5
762,eclipse-edc,Connector,47776.5
136,NaturalIntelligence,fast-xml-parser,47292.0
1020,hashicorp,consul,46363.0
716,dnsjava,dnsjava,45631.0
152,OctoPrint,OctoPrint,44773.5
76,GeyserMC,Geyser,42140.0
761,eclipse-cdt,cdt,42078.0
2443,wireapp,wire-avs,41923.0
1650,markedjs,marked,41338.0
1761,mymarilyn,clickhouse-driver,41252.5
198,SecureAuthCorp,impacket,40923.5
1731,mongo-express,mongo-express,40497.333333333336
2035,python,cpython,40054.5
2112,rumkin,keyget,39383.0
2264,steveukx,git-js,39002.666666666664
2405,vuestorefront,storefront-api,38602.0
704,discordjs,opus,38453.0
202,SimonWaldherr,zplgfa,37951.0
1232,jenkinsci,dingtalk-plugin,37501.0
1048,hoppscotch,hoppscotch,36736.0
1801,nielsbasjes,yauaa,36609.0
952,google,brotli,35925.0
172,PrismJS,prism,33952.333333333336
1578,lautis,uglifier,33526.0
1904,openstack,neutron,33481.36363636364
